site,OU,Plangrp,shift,Value
A,O4,CS O8,21||6,2
A,O4,CS O8,9||18,9
A,O4,O4 D2,12||21,30
A,O4,O4 D2,15||0,13
A,O4,O4 D2,18||3,10
A,O4,O4 D2,21||6,16
A,O4,O4_Dart,10||19,16
A,O4,O4_Dart,10||22,2
A,O4,O4_Dart,11||20,1
A,O4,O4_Dart,12||21,8
A,O4,O4_Dart,13||22,12
A,O4,O4_Dart,14||23,14
A,O4,O4_Dart,15||0,12
A,O4,O4_Dart,18||3,10
A,O4,O4_Dart,19||4,10
A,O4,O4_Dart,21||6,6
A,O4,O4_Dart,22||7,3
A,O4,O4_Dart,6||15,4
A,O4,O4_Dart,7||16,30
A,O4,O4_Dart,8||17,9
A,O4,O4_Dart,9||18,72
A,O4,O4_Primary_Email,18||3,1
A,O4,O4_Primary_Email,19||4,1
A,O4,O4_Primary_Email,21||6,3
A,O4,O4_Primary_Email,22||7,1
A,O4,O4_Primary_Email,23||8,4
A,O4,O4_Primary_Email,6||15,3
A,O4,O4_Primary_MessageUs,10||19,4
A,O4,O4_Primary_MessageUs,12||21,59
A,O4,O4_Primary_MessageUs,13||22,16
A,O4,O4_Primary_MessageUs,15||0,138
A,O4,O4_Primary_MessageUs,18||3,30
A,O4,O4_Primary_MessageUs,19||4,14
A,O4,O4_Primary_MessageUs,21||6,80
A,O4,O4_Primary_MessageUs,22||7,16
A,O4,O4_Primary_MessageUs,23||8,9
A,O4,O4_Primary_MessageUs,6||15,115
A,O4,O4_Primary_MessageUs,7||16,40
A,O4,O4_Primary_MessageUs,8||17,13
A,O4,O4_Primary_MessageUs,9||18,33
A,O4,O4_Primary_Phone,10||19,20
A,O4,O4_Primary_Phone,11||20,25
A,O4,O4_Primary_Phone,12||21,146
A,O4,O4_Primary_Phone,13||22,40
A,O4,O4_Primary_Phone,15||0,86
A,O4,O4_Primary_Phone,17||2,10
A,O4,O4_Primary_Phone,18||3,26
A,O4,O4_Primary_Phone,6||15,88
A,O4,O4_Primary_Phone,7||16,20
A,O4,O4_Primary_Phone,8||17,49
A,O4,O4_Primary_Phone,9||18,76
A,O4,O4_Primary_Tamil_Phone,10||19,88
A,O4,O4_Primary_Tamil_Phone,11||20,11
A,O4,O4_Primary_Tamil_Phone,12||21,153
A,O4,O4_Primary_Tamil_Phone,13||22,40
A,O4,O4_Primary_Tamil_Phone,15||0,42
A,O4,O4_Primary_Tamil_Phone,17||2,1
A,O4,O4_Primary_Tamil_Phone,18||3,54
A,O4,O4_Primary_Tamil_Phone,21||6,27
A,O4,O4_Primary_Tamil_Phone,6||15,43
A,O4,O4_Primary_Tamil_Phone,7||16,1
A,O4,O4_Primary_Tamil_Phone,8||17,62
A,O4,O4_Primary_Tamil_Phone,9||18,65
A,O4,O4_Prime,10||19,11
A,O4,O4_Prime,12||21,3
A,O4,O4_Prime,15||0,67
A,O4,O4_Prime,7||16,30
A,O4,O4_Prime,8||17,15
A,O4,O4_Prime,9||18,22
A,O4,O4_TA_SDS_DRIVER_RECIPIENT,8||17,1
A,O8,CS O8,12||21,7
A,O8,CS O8,15||0,17
B,O1,O1_Consumer,15||0,5
B,O1,O1_Consumer,6||15,2
B,O4,CS O8,12||21,4
B,O4,CS O8,15||0,3
B,O4,CS O8,16||1,1
B,O4,CS O8,8||17,4
B,O4,O4 D2,13||22,16
B,O4,O4_B2B,15||0,62
B,O4,O4_B2B,8||17,63
B,O4,O4_ConCierge_O8,10||22,23
B,O4,O4_ConCierge_O8,12||21,119
B,O4,O4_ConCierge_O8,15||0,87
B,O4,O4_ConCierge_O8,16||1,94
B,O4,O4_ConCierge_O8,8||17,191
B,O4,O4_Dart,12||21,1
B,O4,O4_Dart,16||1,19
B,O4,O4_Dart,17||2,1
B,O4,O4_Dart,8||17,25
B,O4,O4_EsCalation,16||1,17
B,O4,O4_EsCalation,8||17,25
B,O4,O4_LO5,12||21,16
B,O4,O4_LO5,15||0,36
B,O4,O4_LO5,8||17,42
B,O4,O4_LO5,9||18,1
B,O4,O4_Primary_HO4di_Phone,10||19,13
B,O4,O4_Primary_HO4di_Phone,12||21,59
B,O4,O4_Primary_HO4di_Phone,13||22,11
B,O4,O4_Primary_HO4di_Phone,13.5||22.5,18
B,O4,O4_Primary_HO4di_Phone,14||23,2
B,O4,O4_Primary_HO4di_Phone,15||0,138
